Scenario,Objective,DeltaTLCE_Monopile_pct,DeltaTLCE_Tower_pct,DeltaTLCE_ArrayCables_pct,DeltaTLCE_Others_pct,DeltaTLCC_Monopile_pct,DeltaTLCC_Tower_pct,DeltaTLCC_ArrayCables_pct,DeltaTLCC_Others_pct,DeltaAEPnet_Wake_pct,DeltaAEPnet_Availability_pct,DeltaAEPnet_Performance_pct,DeltaAEPnet_ArrayCables_pct,DeltaAEPnet_OffshoreSub_pct,DeltaAEPnet_ExportCables_pct,DeltaAEPnet_OnshoreSub_pct
LPD,COE_CO2 (WFLO),0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
LPD,COE_EUR (WFCO),0.101722029743808,0.0205338572791361,0.123390571057749,0.00269366386271513,0.0318032115943677,0.00747131167748041,0.0437208083328568,0.00156235278699107,3.01348801036318,-0.034801401447287,-0.0595737321783178,0.00372810236189731,-0.017537045874597,-0.129344214709001,-0.0166557583110953
LPD,COE_CO2 (WFCO),0.0321414309100239,0.00699851556462834,-0.310765728833163,0.0021315892274589,0.00996504080412354,0.00241968663098028,-0.174807408334093,0.000508081009894996,2.7214276674905,-0.0692670794962751,-0.0530432117598848,0.0146490899288976,-0.0156825987969795,-0.115997882642097,-0.0148925159083452
HPD,COE_CO2 (WFLO),-0.0435307448647856,-0.00858412188603771,-0.0786409290515425,-0.000561360428063154,-0.013507229240575,-0.00311115637262364,-0.0433352350435152,-0.000651827499407597,-0.150111788298362,0.0188533107329398,0.00262516955130824,0.00718369208389212,0.000728697695581166,0.00395499980742152,0.000700595510563204
HPD,COE_EUR (WFCO),0.022770951497676,0.00446145886244483,-0.0378244352326348,0.000601084747241439,0.00704704794987372,0.00159045440415395,-0.0109721528835513,0.000332916659932171,5.60094547800467,-0.244958728253072,-0.107119734995032,-0.00947070288424092,-0.0314363778712341,-0.223318990361159,-0.0299078456618396
HPD,COE_CO2 (WFCO),0.022770951497676,0.00446145886244483,-0.0378244352326348,0.000601084747241439,0.00704704794987372,0.00159045440415395,-0.0109721528835513,0.000332916659932171,5.60094547800467,-0.244958728253072,-0.107119734995032,-0.00947070288424092,-0.0314363778712341,-0.223318990361159,-0.0299078456618396
HBD,COE_CO2 (WFLO),0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
HBD,COE_EUR (WFCO),0.388693531447905,0.0606094770826678,-0.047465243291709,0.0025677706010839,0.128499224676046,0.0231148477805303,-0.0276077113480171,0.00474036172226871,4.17613552335099,-0.179251796171807,-0.0799376745435837,-0.0102338096208277,-0.0234402734580888,-0.175120921263057,-0.0222489062897618
HBD,COE_CO2 (WFCO),0.340689973787351,0.0525749426758201,-0.228798482029947,0.00194168875387625,0.112559642343257,0.0199905168266068,-0.116460815730929,0.00410108348604575,4.11500183321844,-0.23709037428192,-0.0775582291787307,-0.0109119309139888,-0.0227366477930629,-0.169578735549198,-0.0215827554930093
HSBD,COE_CO2 (WFLO),-0.0736234808428637,-0.00742214144776059,-0.196443819756236,0.00142205589262149,-0.0239115602701024,-0.00287383312048177,-0.115465238236265,-0.000575498695725935,-0.25317949897755,0.041802759764258,0.00422753478426579,-0.00251659271458484,0.00125799478286158,0.00788922208903155,0.00120311148163021
HSBD,COE_EUR (WFCO),0.104052565257816,0.0159270896317867,-0.206173046898921,-1.97123200818377e-05,0.0337021712943845,0.00590771174293331,-0.117053995059408,0.00121811638952673,4.18753338189513,-0.221532499386625,-0.0793200176501703,-0.019039290736742,-0.0232058494447298,-0.170950602859321,-0.0220409107309055
HSBD,COE_CO2 (WFCO),-0.206316550604546,-0.0292633754121112,-0.197794228636652,0.000267547348441688,-0.0669749617220752,-0.0110675440428458,-0.110162176348536,-0.00226276448523934,3.96426242418966,-0.215943476293037,-0.0749663789579323,-0.0143430782726967,-0.021954056943996,-0.160771735495226,-0.0208577021893608
