Objective,DeltaCableLength_pct,DeltaMonopileMass_pct,DeltaTowerMass_pct,DeltaMonopileEmissions_pct,DeltaTowerEmissions_pct,DeltaArrayCablesEmissions_pct,DeltaOthersEmissions_pct,DeltaMonopileCosts_pct,DeltaTowerCosts_pct,DeltaArrayCablesCosts_pct,DeltaOthersCosts_pct,DeltaAEPnet_Wake_pct,DeltaAEPnet_Availability_pct,DeltaAEPnet_Performance_pct,DeltaAEPnet_ArrayCables_pct,DeltaAEPnet_OffshoreSub_pct,DeltaAEPnet_ExportCables_pct,DeltaAEPnet_OnshoreSub_pct
AEPnet (WFLO),-1.47598958858711,0.342478838916257,0.0528627119458472,0.0494981720809625,0.00996195336339202,-0.076161545399918,0.00329311040759641,0.0154225098813676,0.00357239679308008,-0.0417434607418934,0.000739973509177641,0.123962170660858,0.147796596742319,-0.00543517534806402,0.00256085920934168,-0.00161330670758683,-0.00850037629686825,-0.00155262460956018
COE_EUR (WFLO),-2.08275680956446,-0.0346322429785756,-0.00447004073835141,-0.00481052283033996,-0.000595782966664943,-0.241931736098008,0.00287342981702494,-0.00155803052624635,-0.000302079833039532,-0.119986366290721,-7.1293047279711e-05,-0.300927961651962,0.171050421564414,0.00259755080175084,0.00288180980044494,0.000746389076912053,0.00593344315693004,0.000706310083509107
COE_{CO2} (WFLO),-2.09067258835171,-0.0377011794874409,-0.00494525167601536,-0.00525308562365119,-0.000683990076724335,-0.24259213773888,0.00286667092127987,-0.00169623355263634,-0.000334194001366786,-0.120329670959387,-7.80228803258289e-05,-0.302252584165285,0.171165798935576,0.002621735704594,0.00290275527518043,0.000753373765499646,0.00601310403926313,0.00071277489867105
AEP (WFFC),0,0,0,0,0,0,0,0,0,0,0,4.02610459590191,-0.184851991416215,-0.0768250520897143,-0.0129280707053478,-0.0225089968901439,-0.165130700977077,-0.0213831587029406
AEP (WFCO),0.154533450465208,-0.147719881814986,-0.0218152282766064,-0.0212837307781567,-0.00402538481383173,-0.0572646398988894,0.0007629825418114,-0.00665040223323518,-0.00147424618728181,-0.0242401137738384,-0.000312577767832185,4.18469420539069,-0.112580050112502,-0.0814422831055641,-0.0061645090325583,-0.0239070441788404,-0.174078939403673,-0.0227191282773453
AEPnet (WFCO),-0.762555182984471,0.0583350862840438,0.00861114095625762,0.00845558683775931,0.00165319632425543,-0.0450375433233934,0.0022370750919383,0.0026262565710665,0.000581930271916619,-0.0238776083059876,0.000113165852464169,4.22039576824029,-0.0399474183355392,-0.0836089669980954,-0.0090082336393039,-0.0245269868956043,-0.178411599017661,-0.0233093553801246
COE_EUR (WFCO),-4.24212561683551,-0.761936737539286,-0.117418923402268,-0.109744544227856,-0.0216232262061448,-0.338562133889717,6.79835479590937e-05,-0.0343112328213563,-0.00793502584276486,-0.174129539211008,-0.00166697460132525,3.69874495609696,-0.05521230351664,-0.0728706530516067,0.000346094956773225,-0.021426048566913,-0.159234355151437,-0.020342086144603
COE_{CO2} (WFCO),-4.24212561683551,-0.761936737539286,-0.117418923402268,-0.109744544227856,-0.0216232262061448,-0.338562133889717,6.79835479590937e-05,-0.0343112328213563,-0.00793502584276486,-0.174129539211008,-0.00166697460132525,3.69874495609696,-0.05521230351664,-0.0728706530516067,0.000346094956773225,-0.021426048566913,-0.159234355151437,-0.020342086144603
